45.4.133.20 - - [04/Jan/2019:07:27:05 +0800] "GET / HTTP/1.1" 200 11321 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
66.130.215.178 - - [04/Jan/2019:07:37:20 +0800] "GET / HTTP/1.1" 200 11321 "-" "Mozilla/4.2 (Windows NT 7.0; Win64; x64) AppleWebKit/567.33 (KHTML, like Gecko) Chrome/67.0.3886.99 Safari/587.36"
141.105.97.47 - - [04/Jan/2019:07:57:38 +0800] "GET / HTTP/1.1" 200 11321 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
121.167.167.229 - - [04/Jan/2019:08:51:26 +0800] "POST /GponForm/diag_Form?images/ HTTP/1.1" 400 182 "-" "Hello, World"
88.99.195.6 - - [04/Jan/2019:09:43:48 +0800] "GET http://test.getproxylist.com/ HTTP/1.1" 200 11321 "foobartest.com" "FooBarTest"
88.99.195.6 - - [04/Jan/2019:09:43:48 +0800] "\x04\x01\x00PXc\xC3\x06\x00" 400 182 "-" "-"
88.99.195.6 - - [04/Jan/2019:09:43:49 +0800] "\x05\x01\x00" 400 182 "-" "-"
88.99.195.6 - - [04/Jan/2019:09:43:49 +0800] "\x04\x01\x00P\x00\x00\x00\x01\x00test.getproxylist.com\x00" 400 182 "-" "-"
88.99.195.6 - - [04/Jan/2019:09:43:49 +0800] "\x05\x01\x00" 400 182 "-" "-"
139.162.119.197 - - [04/Jan/2019:09:46:47 +0800] "GET / HTTP/1.1" 200 11321 "-" "HTTP Banner Detection (https://security.ipip.net)"
91.217.0.33 - - [04/Jan/2019:10:06:44 +0800] "GET / HTTP/1.1" 200 11321 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
93.174.93.24 - - [04/Jan/2019:11:06:48 +0800] "GET / HTTP/1.1" 200 11321 "-" "libwww-perl/6.35"
113.108.126.12 - - [04/Jan/2019:11:34:19 +0800] "PROPFIND / HTTP/1.1" 405 182 "-" "-"
113.108.126.12 - - [04/Jan/2019:11:34:19 +0800] "GET /webdav/ HTTP/1.1" 404 178 "-" "Mozilla/5.0"
